type,title,director,cast,country,rating,listed_in
TV Show,3%,['nan'],"['JoãoMiguel', 'BiancaComparato', 'MichelGomes', 'RodolfoValente', 'VanezaOliveira', 'RafaelLozano', 'VivianePorto', 'MelFronckowiak', 'SergioMamberti', 'ZezéMotta', 'CelsoFrateschi']",['Brazil'],TV-MA,"['InternationalTVShows', 'TVDramas', 'TVSci-Fi&Fantasy']"
Movie,7:19,['JorgeMichelGrau'],"['DemiánBichir', 'HéctorBonilla', 'OscarSerrano', 'AzaliaOrtiz', 'OctavioMichel', 'CarmenBeato']",['Mexico'],TV-MA,"['Dramas', 'InternationalMovies']"
Movie,23:59,['GilbertChan'],"['TeddChan', 'StellaChung', 'HenleyHii', 'LawrenceKoh', 'TommyKuan', 'JoshLai', 'MarkLee', 'SusanLeong', 'BenjaminLim']",['Singapore'],R,"['HorrorMovies', 'InternationalMovies']"
Movie,9,['ShaneAcker'],"['ElijahWood', 'JohnC.Reilly', 'JenniferConnelly', 'ChristopherPlummer', 'CrispinGlover', 'MartinLandau', 'FredTatasciore', 'AlanOppenheimer', 'TomKane']",['UnitedStates'],PG-13,"['Action&Adventure', 'IndependentMovies', 'Sci-Fi&Fantasy']"
Movie,21,['RobertLuketic'],"['JimSturgess', 'KevinSpacey', 'KateBosworth', 'AaronYoo', 'LizaLapira', 'JacobPitts', 'LaurenceFishburne', 'JackMcGee', 'JoshGad', 'SamGolzari', 'HelenCarey', 'JackGilpin']",['UnitedStates'],PG-13,['Dramas']
TV Show,46,['SerdarAkar'],"['ErdalBeşikçioğlu', 'YaseminAllen', 'MelisBirkan', 'SaygınSoysal', 'BerkanŞal', 'MetinBelgin', 'AyçaEren', 'SelinUludoğan', 'ÖzayFecht', 'SunaYıldızoğlu']",['Turkey'],TV-MA,"['InternationalTVShows', 'TVDramas', 'TVMysteries']"
Movie,122,['YasirAlYasiri'],"['AminaKhalil', 'AhmedDawood', 'TarekLotfy', 'AhmedElFishawy', 'MahmoudHijazi', 'JihaneKhalil', 'AsmaaGalal', 'TaraEmad']",['Egypt'],TV-MA,"['HorrorMovies', 'InternationalMovies']"
Movie,187,['KevinReynolds'],"['SamuelL.Jackson', 'JohnHeard', 'KellyRowan', 'CliftonCollinsJr.', 'TonyPlana']",['UnitedStates'],R,['Dramas']
Movie,706,['ShravanKumar'],"['DivyaDutta', 'AtulKulkarni', 'MohanAgashe', 'AnupamShyam', 'RaayoS.Bakhirta', 'YashvitSancheti', 'GreevaKansara', 'ArchanTrivedi', 'RajivPathak']",['India'],TV-14,"['HorrorMovies', 'InternationalMovies']"
Movie,1920,['VikramBhatt'],"['RajneeshDuggal', 'AdahSharma', 'IndraneilSengupta', 'AnjoriAlagh', 'RajendranathZutshi', 'VipinSharma', 'AminHajee', 'ShriVallabhVyas']",['India'],TV-MA,"['HorrorMovies', 'InternationalMovies', 'Thrillers']"
Movie,1922,['ZakHilditch'],"['ThomasJane', 'MollyParker', 'DylanSchmid', 'KaitlynBernard', 'BobFrazer', ""Briand'ArcyJames"", 'NealMcDonough']",['UnitedStates'],TV-MA,"['Dramas', 'Thrillers']"
TV Show,1983,['nan'],"['RobertWięckiewicz', 'MaciejMusiał', 'MichalinaOlszańska', 'AndrzejChyra', 'CliveRussell', 'ZofiaWichłacz', 'EdytaOlszówka', 'MateuszKościukiewicz', 'EwaBłaszczyk', 'VuLeHong', 'TomaszWłosok', 'KrzysztofWach']","['Poland', 'UnitedStates']",TV-MA,"['CrimeTVShows', 'InternationalTVShows', 'TVDramas']"
TV Show,1994,['DiegoEnriqueOsorno'],['nan'],['Mexico'],TV-MA,"['CrimeTVShows', 'Docuseries', 'InternationalTVShows']"
Movie,"2,215",['NottaponBoonprakob'],['ArtiwaraKongmalai'],['Thailand'],TV-MA,"['Documentaries', 'InternationalMovies', 'SportsMovies']"
Movie,3022,['JohnSuits'],"['OmarEpps', 'KateWalsh', 'MirandaCosgrove', 'AngusMacfadyen', 'JorjaFox', 'EnverGjokaj', 'HaazSleiman']",['UnitedStates'],R,"['IndependentMovies', 'Sci-Fi&Fantasy', 'Thrillers']"
Movie,oct-01,['KunleAfolayan'],"['SadiqDaba', 'DavidBailie', 'KayodeOlaiya', 'KehindeBankole', 'FabianAdeoyeLojede', 'NickRhys', 'KunleAfolayan', 'ColinDavidReese', 'IbrahimShatta', 'FemiAdebayo', 'KanayoO.Kanayo', 'LawrenceStubbings', 'AdemolaAdedoyin']",['Nigeria'],TV-14,"['Dramas', 'InternationalMovies', 'Thrillers']"
TV Show,feb-09,['nan'],"['ShahdElYaseen', 'ShailaSabt', 'Hala', 'HanadiAl-Kandari', 'SalmaSalem', 'IbrahimAl-Harbi', 'MahmoudBoushahri', 'YousefAlBalushi', 'Ghorour', 'AbdullahAl-bloshi']",['nan'],TV-14,"['InternationalTVShows', 'TVDramas']"
Movie,22-jul,['PaulGreengrass'],"['AndersDanielsenLie', 'JonØigarden', 'JonasStrandGravli', 'OlaG.Furuseth', 'MariaBock', 'ThorbjørnHarr', 'JadenSmith']","['Norway', 'Iceland', 'UnitedStates']",R,"['Dramas', 'Thrillers']"
Movie,15-aug,['SwapnaneelJayakar'],"['RahulPethe', 'MrunmayeeDeshpande', 'AdinathKothare', 'VaibhavMangale', 'JaywantWadkar', 'SatishPulekar', 'NainaApte', 'UdayTikekar']",['India'],TV-14,"['Comedies', 'Dramas', 'IndependentMovies']"
Movie,'89,['nan'],"['LeeDixon', 'IanWright', 'PaulMerson']",['UnitedKingdom'],TV-PG,['SportsMovies']
Movie,​​kuch bheege alfaaz,['Onir'],"['GeetanjaliThapa', 'ZainKhanDurrani', 'ShrayRaiTiwari', 'MonaAmbegaonkar', 'ChandreyeeGhosh', 'BarunChanda', 'SahebBhattacharjee', 'ShefaliChauhan']",['India'],TV-14,"['Dramas', 'IndependentMovies', 'InternationalMovies']"
Movie,​goli soda 2,['VijayMilton'],"['Samuthirakani', 'BharathSeeni', 'Vinoth', 'EsakkiBarath', 'ChembanVinodJose', 'GauthamMenon', 'KrishaKurup', 'Subiksha']",['India'],TV-14,"['Action&Adventure', 'Dramas', 'InternationalMovies']"
Movie,​maj rati ​​keteki,['SantwanaBardoloi'],"['AdilHussain', 'ShakilImtiaz', 'MahendraRabha', 'SulakshanaBaruah', 'RahulGautamSarma', 'KuladaBhattacharjya', 'InduMohanDas', 'MoumitaTalukdar']",['India'],TV-14,"['Dramas', 'InternationalMovies']"
Movie,​mayurakshi,['AtanuGhosh'],"['SoumitraChatterjee', 'PrasenjitChatterjee', 'IndraniHaldar', 'SudiptaChakraborty', 'SumanBanerjee', 'GargiRoychowdhury']",['India'],TV-14,"['Dramas', 'InternationalMovies']"
TV Show,​saint seiya: knights of the zodiac,['nan'],"['BrysonBaugus', 'EmilyNeves', 'BlakeShepard', 'PatrickPoole', 'LuciChristian', 'AdamGibbs', 'MasakazuMorita', 'FumikoOrikasa', 'TakahiroSakurai', 'HiroakiMiura', 'SatomiSato', 'KatsuyukiKonishi']",['Japan'],TV-14,"['AnimeSeries', 'InternationalTVShows']"
Movie,(t)error,"['LyricR.Cabral', 'DavidFelixSutcliffe']",['nan'],['UnitedStates'],NR,['Documentaries']
TV Show,(un)well,['nan'],['nan'],['UnitedStates'],TV-MA,['RealityTV']
Movie,#alive,['ChoIl'],"['YooAh-in', 'ParkShin-hye']",['SouthKorea'],TV-MA,"['HorrorMovies', 'InternationalMovies', 'Thrillers']"
Movie,#annefrank - parallel stories,"['SabinaFedeli', 'AnnaMigotto']","['HelenMirren', 'GengherGatti']",['Italy'],TV-14,"['Documentaries', 'InternationalMovies']"
TV Show,#blackaf,['nan'],"['KenyaBarris', 'RashidaJones', 'ImanBenson', 'GenneyaWalton', 'ScarletSpencer', 'JustinClaiborne', 'RaviCabot-Conyers']",['UnitedStates'],TV-MA,['TVComedies']
Movie,#cats_the_mewvie,['MichaelMargolis'],['nan'],['Canada'],TV-14,"['Documentaries', 'InternationalMovies']"
Movie,#friendbutmarried,['RakoPrijanto'],"['AdipatiDolken', 'VaneshaPrescilla', 'RendiJhon', 'BebyTsabina', 'DeniraWiraguna', 'RefalHady', 'DiandraAgatha', 'SariNila']",['Indonesia'],TV-G,"['Dramas', 'InternationalMovies', 'RomanticMovies']"
Movie,#friendbutmarried 2,['RakoPrijanto'],"['AdipatiDolken', 'MawardeJongh', 'SariNila', 'VonnyCornellya', 'ClayGribble', 'IvanLeonardy', 'SarahSechan', 'JourdyPranata']",['Indonesia'],TV-G,"['Dramas', 'InternationalMovies', 'RomanticMovies']"
Movie,#realityhigh,['FernandoLebrija'],"['NestaCooper', 'KateWalsh', 'JohnMichaelHiggins', 'KeithPowers', 'AliciaSanz', 'JakeBorelli', 'KidInk', 'YousefErakat', 'RebekahGraf', 'AnneWinters', 'PeterGilroy', 'PatrickDavis']",['UnitedStates'],TV-14,['Comedies']
Movie,#roxy,['MichaelKennedy'],"['JakeShort', 'SarahFisher', 'BoobooStewart', 'DannyTrejo', 'PippaMackie', 'JakeSmith', 'PatriciaZentilli', 'CarterThicke']",['Canada'],TV-14,"['Comedies', 'RomanticMovies']"
Movie,#rucker50,['RobertMcCulloughJr.'],['nan'],['UnitedStates'],TV-PG,"['Documentaries', 'SportsMovies']"
Movie,#selfie,['CristinaJacob'],"['FlaviaHojda', 'CrinaSemciuc', 'OlimpiaMelinte', 'LeventSali', 'VladLogigan', 'AlexCalin', 'AlinaChivulescu', 'RazvanVasilescu']",['Romania'],TV-MA,"['Comedies', 'Dramas', 'InternationalMovies']"
Movie,#selfie 69,['CristinaJacob'],"['MaiaMorgenstern', 'OlimpiaMelinte', 'CrinaSemciuc', 'FlaviaHojda', 'MariaDinulescu', 'AlexCalin', 'VladLogigan', 'LeventSali', 'SilviaBusuioc', 'MihaelaMihut']",['Romania'],TV-MA,"['Comedies', 'Dramas', 'InternationalMovies']"
TV Show,แผนร้ายนายเจ้าเล่ห์,['nan'],"['ChutavuthPattarakampol', 'SheranutYusananda', 'NichaphatChatchaipholrat', 'ThassapakHsu']",['nan'],TV-14,"['InternationalTVShows', 'RomanticTVShows', 'TVComedies']"
Movie,"¡ay, mi madre!",['FrankAriza'],"['EstefaníadelosSantos', 'SecundelaRosa', 'TerelePávez', 'MaríaAlfonsaRosso', 'MariolaFuentes', 'AlfonsoSánchez', 'PazVega', 'MartaTorné', 'ConchaGalán']",['Spain'],TV-MA,"['Comedies', 'InternationalMovies']"
